customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
6230,Brian Gregory,trose@example.org,Cyprus,2022-05-13,Basic,44836.64
31,Kyle Smith,sierra24@example.com,Greece,2021-09-20,Standard,37804.90
32,Jonathan Jordan,omarpadilla@example.net,Monaco,2019-07-28,Basic,36235.76
33,Renee Jones,grahamsteve@example.org,Tokelau,2023-08-14,Basic,48718.73
34,Jeffrey Sullivan,zroberts@example.org,Greece,2018-08-08,Premium,21910.70
35,Travis Stevens,christopher13@example.com,Namibia,2018-11-08,Standard,30297.92
36,Blake Harrell,jeffrey21@example.net,North Macedonia,2024-11-19,Basic,19895.48
37,Jordan Bullock,michael23@example.org,Cameroon,2021-08-29,Premium,31742.74
38,Christopher Hernandez,thompsonkendra@example.com,Kyrgyz Republic,2023-01-20,Standard,11484.11
39,Olivia Cole,michelle52@example.com,Bangladesh,2024-03-15,Standard,21649.21
40,Mark Hogan,bellcharles@example.com,Korea,2024-07-27,Basic,19065.63
41,Jacob Mitchell,gilbertwilliam@example.com,Mozambique,2024-12-08,Standard,39922.95
42,Rebecca Huang,kstout@example.net,Comoros,2018-10-29,Premium,13471.80
43,John Hernandez,hayeslisa@example.com,Rwanda,2022-04-06,Basic,39216.13
44,Matthew Williams,hritter@example.net,New Zealand,2019-09-24,Basic,19542.14
45,Jake Campbell,rschroeder@example.net,Austria,2022-01-17,Premium,4666.87
46,Maria Jones,grantpaul@example.com,Saint Kitts and Nevis,2021-06-16,Standard,18059.88
47,Tracey Morrison,mathewaguilar@example.org,United States Virgin Islands,2021-01-09,Premium,6712.10
48,Walter Hale,tanderson@example.org,Georgia,2020-02-07,Standard,22497.30
49,Maria Murphy,elizabethcalderon@example.net,Poland,2024-03-22,Basic,20461.40
50,Anna Santiago,andrew42@example.org,Guam,2018-04-18,Premium,17760.32
51,Katelyn Perez,ericphillips@example.org,Madagascar,2019-01-17,Basic,29942.39
52,Sandy Stephenson,stanleynancy@example.net,Bulgaria,2021-08-21,Standard,715.80
53,Brittany White,jenniferwilliams@example.com,Philippines,2022-08-22,Standard,38980.54
54,Tracy Bishop,pyoung@example.com,Sudan,2024-04-10,Premium,28640.83
55,Stephanie Lee,smurray@example.com,Macao,2019-11-26,Basic,19098.53
56,Tracy Montoya,moniquewilliams@example.com,Tunisia,2019-07-23,Standard,15126.45
57,Timothy Dawson,mitchellkathryn@example.com,Korea,2023-07-13,Premium,3257.03
58,Brittany Kim,lisawilkerson@example.org,Israel,2022-11-16,Standard,21113.01
59,Jonathan Young,brooksanthony@example.org,Taiwan,2023-06-07,Premium,18120.13
60,Gabriela Thomas,mitchellmaria@example.net,Switzerland,2020-10-07,Basic,31289.18
61,Michael West,bullockandrew@example.org,Syrian Arab Republic,2024-08-29,Basic,9857.86
62,Todd Lynch,srodriguez@example.org,Gabon,2019-03-15,Premium,15302.43
63,David Fowler,fbrown@example.net,Mauritania,2022-06-09,Standard,42096.51
64,Jose Allen,kellysmith@example.com,Dominican Republic,2022-04-06,Standard,22067.12
65,Chelsea Barnett,carlos88@example.net,Solomon Islands,2022-10-30,Basic,48713.85
66,Kristen Myers DDS,qzavala@example.net,Andorra,2019-07-12,Standard,16101.19
67,Austin Allen,ingramjill@example.com,Burkina Faso,2020-04-02,Standard,15777.75
68,Joshua Li,mariacohen@example.net,Lesotho,2022-06-20,Standard,14643.26
69,Robin Brown,mjohnson@example.org,Somalia,2023-07-05,Basic,39120.52
70,Andrew Mahoney,ihays@example.com,El Salvador,2021-08-27,Standard,14086.98
71,Matthew Mitchell,glennmartin@example.org,South Georgia and the South Sandwich Islands,2022-05-29,Standard,5783.00
72,Steve Paul,lmorgan@example.com,Puerto Rico,2024-04-28,Premium,29652.13
73,Tim Stone PhD,mmiller@example.org,Mayotte,2024-02-13,Premium,34117.46
74,Brian Murphy,kirk96@example.org,Portugal,2024-03-03,Premium,47654.93
75,Jeremy Acosta,christina64@example.net,Somalia,2023-03-06,Basic,10561.45
76,Angela Walsh,william20@example.org,Thailand,2021-04-08,Basic,3551.02
77,Rachael Johnson,youngdeanna@example.com,Hungary,2022-08-03,Basic,25015.23
78,Amanda Hernandez,xrush@example.com,Serbia,2021-05-25,Premium,12708.82
79,Chad Richardson,debra31@example.org,Saint Pierre and Miquelon,2019-09-24,Basic,21214.08
80,Joseph Mcintyre,greenjorge@example.com,Croatia,2022-03-25,Premium,22508.43
81,Donna Hendricks DDS,taylorcharles@example.org,United Arab Emirates,2024-09-15,Standard,29153.98
82,Yolanda Cochran,elizabeth18@example.net,French Guiana,2023-12-29,Basic,46182.44
83,Sarah Joseph,laurahicks@example.org,Cook Islands,2022-09-10,Basic,1934.58
84,Cynthia Snyder,angela57@example.net,Bulgaria,2022-01-12,Basic,44785.53
85,Angelica Parker,xfox@example.com,Swaziland,2024-01-09,Basic,31945.20
86,Beth Stewart,coleerin@example.com,Brunei Darussalam,2018-12-15,Premium,38470.81
87,Penny Bowman,katrinaanderson@example.net,United States Minor Outlying Islands,2021-12-25,Premium,32385.29
88,Sandra Holmes,fred53@example.com,Yemen,2018-07-01,Basic,49182.05
89,Stephanie Singleton,james84@example.org,Niue,2022-06-25,Standard,48289.27
90,Joseph Shaw,brittanycarpenter@example.org,Palestinian Territory,2022-10-30,Premium,626.33
91,Stephanie Morgan,bryananthony@example.org,Yemen,2020-11-25,Premium,25582.74
92,Laura Curtis,bmontgomery@example.com,Tuvalu,2023-10-26,Basic,29067.86
93,Donna Frye,zsanchez@example.net,Iraq,2024-06-14,Premium,22344.35
94,Benjamin Brown,dperry@example.org,Guam,2022-05-22,Standard,38639.88
95,Emily Higgins,theresa25@example.net,Monaco,2024-08-07,Basic,25073.24
96,David Martinez,gwright@example.org,French Guiana,2021-11-13,Premium,24190.28
97,Sharon Barnes,lisapeck@example.net,Germany,2021-04-25,Standard,46035.32
98,Christopher Ferrell,tjimenez@example.com,Angola,2018-12-18,Premium,41582.76
99,James Bryant,jasongomez@example.org,Finland,2019-08-04,Standard,15663.33
100,Stephen Pena MD,booneryan@example.com,Saint Lucia,2023-02-09,Premium,26103.63
101,Jamie Williams,hudsonjames@example.net,France,2021-11-27,Standard,4971.39
102,Jonathan Duran,marcia99@example.org,Brunei Darussalam,2023-01-28,Standard,3452.00
103,Jennifer Norton,angela52@example.org,Netherlands,2018-07-03,Basic,5842.75
104,Kathryn Williams,jenniferbrock@example.net,Korea,2021-11-06,Basic,5557.20
105,Steven Taylor,francisco94@example.net,Guadeloupe,2019-11-05,Basic,12271.26
106,Katrina Burns,thomas05@example.com,Peru,2019-12-16,Basic,8090.77
107,Jason Parker,carlsonjoseph@example.net,Slovenia,2024-04-12,Standard,47927.28
108,Laura Perez,silvageorge@example.net,Saint Helena,2020-08-07,Standard,31525.04
109,Sarah Hernandez,anthonyvaughan@example.org,Comoros,2020-02-03,Basic,32899.66
110,Erik Hernandez,roberthampton@example.com,Tunisia,2022-06-09,Premium,36895.68
111,Monica Thornton,annbolton@example.com,Malta,2020-03-19,Standard,29650.94
112,Tyler Stevens,amy49@example.com,Congo,2022-05-12,Premium,35266.31
113,Diana Evans,kellie37@example.com,Lesotho,2020-04-22,Standard,37641.04
114,Timothy Pope,keith98@example.com,Ukraine,2018-09-14,Basic,5177.43
115,Sabrina Blevins,kellyroberts@example.net,Belgium,2024-01-09,Premium,18353.07
116,Jeremy Scott,ilewis@example.com,Venezuela,2020-03-18,Standard,5786.35
117,Denise Rodriguez,johnsantiago@example.net,Czech Republic,2023-06-28,Basic,48299.23
118,Amy Gutierrez,xgarcia@example.org,Albania,2021-07-07,Basic,19493.10
119,Vanessa Moore,mwoods@example.com,Gibraltar,2022-05-27,Basic,5800.18
120,Anthony Mack,amandasharp@example.org,United States Minor Outlying Islands,2021-12-12,Standard,30906.40
121,Jennifer Monroe,osbornrandy@example.com,Colombia,2021-05-03,Basic,29549.40
122,Tonya Howe,smithashley@example.org,Vanuatu,2019-07-03,Standard,5981.30
123,Mrs. Virginia Daniels,ismall@example.net,Lao People's Democratic Republic,2021-06-04,Premium,9233.92
124,Robert Rivera,twong@example.org,American Samoa,2019-08-03,Basic,19484.32
125,Rachel Bradley,gregorychase@example.com,Sweden,2024-09-08,Premium,28782.82
126,Garrett Morales,lopezdonald@example.com,Vietnam,2022-09-29,Premium,24384.84
127,Dean Young,stephanie49@example.net,Montserrat,2024-01-11,Basic,45966.13
128,Matthew Schwartz,contrerassteven@example.org,Iraq,2019-12-11,Basic,8426.59
129,Tammy Barron,hannah45@example.net,Cyprus,2021-03-29,Premium,9436.22
130,Casey Hernandez,robert87@example.net,Spain,2023-01-22,Basic,2775.20
131,Colleen Wright,foxallison@example.com,Belarus,2022-01-10,Premium,24281.99
132,Ashley Poole,ashleyhernandez@example.com,Timor-Leste,2020-03-10,Standard,48195.07
133,Audrey Harris,gdavis@example.com,Sudan,2023-09-02,Basic,24799.00
134,Carlos Perry,hansenemily@example.com,Saint Kitts and Nevis,2023-07-08,Standard,35536.10
135,David Smith,bethwilliams@example.com,Reunion,2022-12-24,Standard,8445.95
136,Zachary Michael,andersenthomas@example.com,Ireland,2024-05-04,Premium,39814.46
137,Chad May,ybrooks@example.com,Trinidad and Tobago,2020-06-22,Standard,1731.48
138,Jamie Miller,desireebailey@example.org,Mauritania,2020-07-09,Basic,14504.65
139,Cameron Irwin,avilatiffany@example.com,Peru,2023-02-17,Basic,37151.66
140,Jessica Gray,johnreed@example.com,Comoros,2023-07-22,Basic,25589.22
141,Molly Rodriguez,bmendez@example.org,Costa Rica,2024-06-03,Premium,13467.66
142,Kirk Griffin,sanchezbradley@example.com,Djibouti,2024-02-03,Standard,27147.96
143,Nicole Parsons,williamroberts@example.net,Morocco,2018-06-20,Basic,22124.19
144,Kyle Chambers,joel28@example.org,Isle of Man,2020-06-14,Standard,5210.58
145,Antonio Fry,conniesimmons@example.com,Australia,2020-10-10,Standard,43753.01
146,Teresa Powers,heather62@example.com,Honduras,2018-05-13,Standard,13214.48
147,Joshua Allen,kevinzimmerman@example.com,United States Virgin Islands,2018-12-23,Standard,43277.99
148,Jason Butler,paulscott@example.com,Oman,2019-04-26,Premium,10572.92
149,Jerry Watson,brettbennett@example.net,Netherlands,2024-08-05,Basic,17596.48
150,Benjamin Ballard,timothybooth@example.com,Gabon,2024-11-04,Basic,21465.54
151,Alexis Giles,burgesskaren@example.org,Qatar,2024-11-28,Premium,39263.98
152,Christine Herman,kimberly67@example.net,Pakistan,2020-04-27,Premium,28546.71
153,Dennis Hunt,zowens@example.net,Latvia,2023-12-21,Standard,29883.20
154,Erica Harris,robert93@example.net,Cameroon,2019-11-21,Standard,48952.11
155,Juan Silva,mphillips@example.com,Denmark,2021-04-13,Standard,28679.51
156,Roy Porter,jonathan77@example.com,Chile,2023-10-09,Basic,40777.53
157,Heather Taylor,iwhite@example.net,Bahamas,2019-07-10,Standard,45946.56
158,Sara Jones,duranrobert@example.net,Djibouti,2021-02-09,Basic,6431.72
159,Chris Robinson,nbrooks@example.net,Papua New Guinea,2019-06-28,Premium,7397.55
160,Susan Hopkins,smithandrea@example.org,Andorra,2021-08-12,Premium,38097.53
161,Denise Madden,shawheidi@example.com,Sri Lanka,2022-05-28,Standard,7194.36
162,Cassie Hull,johnharvey@example.com,Suriname,2021-01-05,Basic,20769.83
163,Robert Miller,pstevens@example.net,Czech Republic,2023-01-26,Premium,31718.03
164,Ronald Miller,davisnicholas@example.net,Lebanon,2019-01-17,Standard,25829.11
165,Adam Jackson,pbruce@example.com,Mongolia,2021-02-13,Basic,46823.17
166,Valerie Jacobson,hallrachel@example.net,Tuvalu,2022-02-20,Standard,47517.68
167,Denise Glass,rachel90@example.org,Vanuatu,2021-09-02,Basic,223.41
168,Alexis Clark,karenmarquez@example.com,Vanuatu,2019-01-17,Basic,48610.30
169,Christopher Allen,irhodes@example.com,Hungary,2022-01-07,Premium,39804.33
170,Brenda Hinton,masonterri@example.org,Bolivia,2022-06-18,Premium,48409.62
171,Ryan Peterson,unovak@example.org,North Macedonia,2020-05-17,Standard,13499.99
172,Willie Henry,angela66@example.org,Pitcairn Islands,2021-03-07,Standard,27410.80
173,Jamie Barton,lauren11@example.com,Cape Verde,2019-06-19,Basic,42635.89
174,Richard Moore,gstewart@example.org,Albania,2021-11-08,Basic,38136.48
175,Jill Juarez,andersonjacob@example.com,Moldova,2018-07-08,Premium,31346.36
176,Jennifer Johnson,angela99@example.com,Tonga,2023-02-26,Premium,6299.44
177,Edgar Hughes,hardyanita@example.org,Montserrat,2019-10-10,Standard,22880.25
178,Melissa Jackson,kevin72@example.org,Chad,2022-10-19,Premium,49785.13
179,Jason Washington,wardsheryl@example.net,Niue,2019-06-25,Basic,15163.09
180,Luis Ellis Jr.,rushmartin@example.net,Hong Kong,2021-01-27,Premium,32763.94
181,Erin Cook,kevinmorrison@example.net,Cook Islands,2020-10-22,Premium,18655.00
182,Christopher Sanders,kelly79@example.org,Greece,2019-11-09,Premium,19877.44
183,Robert Long,frederickjames@example.net,Cocos (Keeling) Islands,2021-06-05,Basic,35002.12
184,Krista Benton,nhahn@example.com,South Georgia and the South Sandwich Islands,2020-08-17,Standard,32808.71
185,Michael Fuentes,ichambers@example.net,Gabon,2019-01-25,Premium,10749.72
186,Matthew Espinoza,mjones@example.com,Myanmar,2018-11-16,Premium,29724.61
187,Jonathon Knapp,ystephens@example.com,Reunion,2023-10-29,Basic,22308.84
188,Kimberly Little,rodriguezjohn@example.net,Guinea,2018-02-03,Basic,17244.35
189,Lonnie Hart,vrasmussen@example.com,Botswana,2019-05-09,Standard,34732.15
190,David Dixon,seanmyers@example.net,Namibia,2023-05-11,Premium,11524.45
191,Brittany Cuevas,agarcia@example.org,Brazil,2019-01-01,Basic,40317.25
192,Monica Bailey,stanley38@example.com,Guernsey,2019-02-27,Standard,18441.33
193,Jeffrey Horton,carlos01@example.org,Thailand,2021-05-10,Premium,19197.78
194,Brian Marsh,zacharyarnold@example.com,Monaco,2019-06-30,Basic,49647.71
195,Joel Salinas,jacobsandoval@example.com,Antarctica (the territory South of 60 deg S),2019-08-09,Premium,26572.36
196,Sonya Cole,tprice@example.org,Costa Rica,2018-02-04,Basic,32536.01
197,Michael Flynn,lloydamanda@example.com,Greece,2022-12-08,Standard,36149.36
5474,Brian Lambert,orose@example.com,Nepal,2019-09-13,Standard,30842.19
199,James Wilson,megan92@example.net,Romania,2022-12-18,Premium,4425.73
200,Tamara Lawrence,lawrenceallen@example.org,Cocos (Keeling) Islands,2019-02-16,Premium,37647.04
201,Charles Price,baileyhenderson@example.com,North Macedonia,2024-08-11,Basic,19263.19
202,Tamara Arias,angelaburns@example.org,Colombia,2022-10-25,Standard,39574.73
203,Jerry Brown,stephanie72@example.org,Suriname,2020-10-11,Standard,32266.57
204,Justin Delgado,acohen@example.net,Tajikistan,2020-10-13,Basic,30089.85
205,Christopher Cunningham,kellyhill@example.net,France,2024-10-24,Standard,38970.59
206,Jim Newton,hdunn@example.net,Brazil,2018-04-20,Basic,43803.78
207,Joshua Ritter,wolfscott@example.org,Jamaica,2020-04-21,Basic,30385.65
208,Ronald Potter,nancy07@example.com,Guernsey,2020-02-12,Basic,19648.38
209,Angie Grimes,rowejoel@example.net,Namibia,2018-08-12,Premium,24794.90
210,Shannon Bishop,imartin@example.org,Suriname,2019-04-07,Premium,25029.17
211,Anthony Bell,candice25@example.net,French Guiana,2024-08-29,Premium,26461.50
212,Derek Hodge,taylorkaren@example.com,Uruguay,2018-02-19,Standard,46702.83
213,Donald Rios,johndawson@example.org,Senegal,2019-06-25,Standard,43054.62
214,Jenna Thomas,courtney67@example.org,North Macedonia,2024-05-17,Standard,18334.08
215,Patricia Powell,heather57@example.com,Greece,2019-12-09,Standard,47727.20
216,Sheila Boone,simonstephen@example.net,Qatar,2018-10-26,Premium,29409.44
217,Arthur Ferguson,tammysummers@example.com,Ethiopia,2018-02-26,Standard,10865.57
218,Drew Kelley,ashleewashington@example.com,Uganda,2018-09-05,Standard,25379.87
219,Amber Garcia,ksmith@example.com,Korea,2023-08-15,Standard,21236.40
220,Tyler Harris,nicoleturner@example.com,Bermuda,2022-07-06,Premium,32062.81
221,Danielle Watson,brettgarrett@example.net,Reunion,2024-01-12,Basic,7718.75
222,Jessica Davis,smiththomas@example.org,Nauru,2018-12-09,Standard,4043.18
223,Michael Smith,lisa62@example.com,Barbados,2020-04-12,Premium,26865.87
224,Brandon Shaffer,edwardsnicole@example.org,Hong Kong,2022-05-20,Basic,31751.28
225,Nicole Anderson,caseyelliott@example.net,Pakistan,2018-09-28,Standard,34963.93
226,Gregory Lewis,samanthajensen@example.com,Tokelau,2020-09-04,Premium,12299.54
227,Steven Taylor,lawrencepatrick@example.com,Germany,2022-11-15,Premium,22723.25
228,Danielle Newman,angelagreene@example.net,Finland,2024-10-29,Premium,15533.57
229,Melissa Abbott,jamie98@example.org,San Marino,2019-12-21,Premium,731.98
230,Matthew Bowers,troyrodriguez@example.com,Northern Mariana Islands,2019-07-17,Basic,666.40
231,Kelsey Levine,sarah26@example.net,Italy,2023-07-27,Standard,26197.97
232,Michael Farmer,smithcarlos@example.com,Cuba,2020-11-27,Premium,18656.28
233,Antonio Mccormick,courtney86@example.com,Reunion,2021-01-05,Basic,44332.10
234,Martin Medina,joshuacollins@example.net,Uruguay,2018-05-01,Standard,40374.68
235,Robert Herrera,wwillis@example.net,Pitcairn Islands,2021-01-19,Basic,3287.21
236,Emily Kim,brianmiller@example.com,Brazil,2024-06-19,Basic,3945.79
237,Lee Parker,davidzimmerman@example.net,Algeria,2023-02-08,Basic,18070.18
238,Troy Mills,gary24@example.net,Turks and Caicos Islands,2023-08-09,Basic,8427.38
239,Steven Rogers,enelson@example.com,Rwanda,2019-10-07,Standard,38689.11
240,Lori Crawford,brian92@example.com,Cayman Islands,2024-06-08,Basic,36166.64
241,Brian Berry,perezwilliam@example.org,Togo,2020-07-24,Basic,25490.36
242,Dana Ruiz,lmora@example.org,Micronesia,2018-06-30,Premium,12303.12
243,Michelle Rios,marcbutler@example.net,Ghana,2023-04-17,Standard,19210.68
244,Blake Watson,whitelinda@example.org,Zimbabwe,2019-09-07,Premium,46564.89
245,Shawn Cline,mark87@example.org,Heard Island and McDonald Islands,2018-05-25,Basic,40175.46
246,Justin Torres,stevenvargas@example.com,Sierra Leone,2022-09-14,Premium,16157.92
247,Morgan Payne,edwardrandolph@example.org,Djibouti,2022-09-01,Basic,16064.76
248,Makayla Steele,tapiaaaron@example.net,Honduras,2018-11-16,Basic,18703.13
249,Monica Garcia,robertwoodward@example.org,Rwanda,2023-08-19,Basic,45106.86
250,Andrew Hall,xhaynes@example.com,San Marino,2020-01-05,Premium,40236.47
251,Brendan Anderson,kjones@example.org,Jordan,2018-07-08,Standard,3539.43
252,Bianca Carter,sara65@example.com,Korea,2023-03-21,Standard,38699.02
253,Benjamin Harris,moorefrank@example.com,Germany,2021-06-26,Standard,4410.64
254,Joshua Oconnell,shannonford@example.org,Bermuda,2023-02-14,Premium,18509.08
255,Michael Mckenzie,lewismelissa@example.org,Bermuda,2021-04-09,Basic,39246.91
256,Tracy Foster,byrdjorge@example.org,Antarctica (the territory South of 60 deg S),2024-12-25,Premium,23249.94
257,Sarah Hawkins,codygarcia@example.org,British Virgin Islands,2024-08-20,Standard,49889.58
258,Ronald Haas,jamesmorales@example.net,Norfolk Island,2020-03-11,Basic,45032.12
259,Angela Willis,johnsoncaleb@example.net,Kenya,2020-10-01,Premium,418.26
260,Anna Boone,david70@example.org,Uzbekistan,2022-08-07,Premium,11726.59
261,Samantha Foster,reyesronald@example.com,Croatia,2021-11-19,Basic,41994.74
262,Denise Griffin,austinharvey@example.org,Oman,2018-02-09,Standard,172.96
263,Jason Pierce,millerpatrick@example.com,Cook Islands,2022-03-22,Basic,36388.03
264,Rebecca Wright,mayokimberly@example.com,Lesotho,2019-03-02,Premium,26537.74
265,Kari Durham,paul20@example.com,Nepal,2020-09-02,Standard,24652.24
266,Steven Osborne,stokesthomas@example.com,Seychelles,2018-09-03,Premium,35611.46
267,Crystal Moore,dianeadams@example.net,Azerbaijan,2019-01-17,Premium,46071.59
268,Theresa Johnston,lkelly@example.org,Dominica,2023-10-30,Standard,35072.26
269,Renee Wolfe,warnermichael@example.net,Mongolia,2022-03-06,Standard,48730.28
270,Travis Copeland,lweaver@example.com,Argentina,2018-12-14,Basic,4869.29
271,David Robinson,nsmith@example.org,Sri Lanka,2019-07-01,Basic,41016.15
272,Mitchell Sellers,brian29@example.net,United States Virgin Islands,2018-11-03,Basic,28434.25
273,Brian Fox,susan56@example.net,Bolivia,2022-11-17,Basic,48214.49
274,Frank Daugherty,fconner@example.net,Ghana,2020-08-27,Standard,13123.45
275,Wayne Steele,jeffrey92@example.com,Gambia,2021-07-14,Standard,35066.21
276,Elizabeth Thompson,rushstacy@example.com,Thailand,2021-08-29,Standard,22692.62
277,Traci Johnson DDS,daniellegarcia@example.com,Cambodia,2020-08-14,Premium,47183.38
278,Blake Reed,gary15@example.com,Algeria,2019-07-12,Basic,5537.74
279,David Jones,kristin00@example.com,Kazakhstan,2019-03-09,Premium,22533.38
280,Tracy Wilkerson,wmacias@example.net,Honduras,2021-07-10,Standard,6124.76
281,John Shields,franciscojones@example.org,French Polynesia,2022-01-07,Premium,22650.66
282,Dean Garcia,george62@example.net,Belarus,2023-03-13,Standard,42638.86
283,Stephanie Davis,bbush@example.net,Chad,2019-01-06,Premium,40399.09
284,Jessica Brown,jamie36@example.net,Micronesia,2021-05-31,Basic,34874.21
285,Monica Baker,kenneth10@example.com,Montserrat,2018-06-15,Premium,41812.65
286,Katherine Brown,pattersonkelly@example.net,Niue,2021-09-04,Premium,4651.52
287,Christina Johnson,daniellerowland@example.com,Tanzania,2020-10-13,Standard,19872.60
288,Richard Ruiz,christopher86@example.org,Heard Island and McDonald Islands,2018-07-20,Basic,15012.15
289,Jaclyn Griffin,scott43@example.com,Mongolia,2019-12-14,Premium,47609.62
290,Paul Contreras,barnettlindsey@example.com,Saudi Arabia,2023-01-27,Basic,37429.11
291,Kristen Randall,rsheppard@example.com,Montserrat,2020-10-20,Premium,23155.96
292,Karen Miller,shawrachel@example.net,Philippines,2019-07-27,Premium,696.65
293,Mrs. Tiffany Cole,teresastokes@example.org,Armenia,2020-06-29,Premium,9986.84
294,William Graham,maryscott@example.net,United States Virgin Islands,2022-06-29,Standard,34345.63
295,Angie Hawkins,melissa87@example.org,Solomon Islands,2018-12-11,Basic,29347.33
296,Laurie Harrington,perryeddie@example.net,Myanmar,2018-11-04,Premium,49858.36
297,Teresa Buckley,floydmikayla@example.com,Turkey,2020-03-20,Basic,22227.22
298,James Washington,rjohnson@example.com,Cambodia,2019-06-12,Premium,45263.39
299,Melanie Morales,vpreston@example.net,Dominica,2021-09-20,Premium,2230.55
300,John Adams,andrew44@example.com,Tajikistan,2023-03-04,Premium,8482.66
301,Michael Garcia PhD,kevinmanning@example.com,Ethiopia,2024-06-08,Standard,41102.10
302,Lisa Davis,alewis@example.net,Libyan Arab Jamahiriya,2022-06-06,Standard,1571.17
303,Sharon Nicholson,cameronmckinney@example.com,Burkina Faso,2022-10-14,Premium,17761.77
304,Kelly Carroll,jameswhitaker@example.org,Egypt,2020-02-06,Standard,14064.74
305,Anthony Ward,joshuacolon@example.net,Indonesia,2019-09-01,Premium,30743.92
306,Becky Johnson,tracy72@example.com,Namibia,2024-12-02,Premium,32399.19
307,Hailey Monroe,kaitlyn14@example.org,Hungary,2023-08-06,Standard,44150.65
308,Scott Chan,mercedesholland@example.net,Costa Rica,2023-05-17,Premium,4477.31
309,Jason Smith,wellsdavid@example.org,Netherlands Antilles,2022-04-18,Premium,21019.82
310,Courtney Franklin,jennifer46@example.com,Timor-Leste,2023-11-24,Premium,31574.64
311,David Owens,asilva@example.net,Panama,2024-02-05,Premium,49471.24
312,Sara Hoffman,kenneth17@example.org,Guadeloupe,2022-01-10,Standard,27271.44
313,Margaret Hensley MD,jacob83@example.org,Sri Lanka,2023-06-09,Standard,45642.58
314,Rhonda Powell,erin07@example.com,Eritrea,2023-08-20,Standard,19480.23
315,Jennifer Doyle,matthewreeves@example.net,Martinique,2020-01-07,Premium,16011.99
316,Karen Shepard,william28@example.org,French Polynesia,2020-06-16,Premium,44798.66
317,Carl Green,staceylam@example.net,Benin,2021-02-24,Premium,40451.83
318,Daniel Savage,vfrench@example.com,Eritrea,2023-04-17,Basic,17935.90
319,Julie Wilson,delacruzbrandy@example.net,Barbados,2024-07-20,Premium,48701.60
320,Cory Wilson,amoreno@example.org,Trinidad and Tobago,2019-02-15,Premium,32877.53
321,Brenda Gonzalez,dbenitez@example.org,Germany,2020-12-27,Basic,40832.63
322,Catherine Miller,crystal25@example.net,Azerbaijan,2018-08-18,Premium,28827.04
323,Donald Juarez,barbaramoore@example.org,Bulgaria,2022-05-10,Standard,46766.78
324,Madeline Powell,creyes@example.net,Cook Islands,2019-12-13,Premium,11903.90
325,Tiffany Mcclain,andrewsmith@example.net,Egypt,2021-07-26,Basic,34911.57
326,Shawn Collins,reyesbrianna@example.org,Bahrain,2024-08-20,Premium,35202.30
327,Elizabeth Carter,ryan25@example.com,Guinea-Bissau,2021-12-11,Basic,28223.96
